Process	PID	Thread	TID	State	Wall duration (ms)	Avg Wall duration (ms)	Occurrences
org.mozilla.firefox:tab0	14091	StreamTrans #3	15376	Runnable	25.156617	0.628915	40
org.mozilla.firefox	13990	Timer	14112	Uninterruptible Sleep + Wake Kill	22.938155	4.587631	5
kthreadd	2	rcu_sched	8	Runnable	22.861698	0.519584	44
org.mozilla.firefox:tab0	14091	Socket Thread	14202	Runnable	22.349929	0.323912	69
kthreadd	2	hps_main	158	Running	22.181296	0.059627	372
org.mozilla.firefox	13990	queued-work-loo	14069	Uninterruptible Sleep	22.025541	1.376596	16
org.mozilla.firefox	13990	URL Classifier	14135	Runnable (Preempted)	21.214545	0.573366	37
kthreadd	2	dmcrypt_write	473	Running	20.400692	0.066668	306
org.mozilla.firefox:tab0	14091	la.firefox:tab0	14091	Running	20.203778	0.292808	69
org.mozilla.firefox:tab0	14091	HTML5 Parser	15379	Uninterruptible Sleep + Wake Kill	20.070155	2.508769	8
org.mozilla.firefox	13990	mali-hist-dump	14152	Runnable (Preempted)	20.031768	0.312996	64
org.mozilla.firefox	13990	arch_disk_io_2	14060	Running	19.992386	0.444275	45
/system/bin/surfaceflinger	3534	surfaceflinger	3547	Uninterruptible Sleep + Wake Kill	19.982618	1.665218	12
org.mozilla.firefox	13990	URL Classifier	14135	Running	19.791535	0.282736	70
org.mozilla.firefox	13990	JS Watchdog	14086	Runnable	19.497927	0.286734	68
kthreadd	2	hps_main	158	Runnable	19.470172	0.052339	372
/system/bin/surfaceflinger	3534	HwBinder:3534_1	3575	Uninterruptible Sleep + Wake Kill	19.159157	2.394894	8
/system/bin/surfaceflinger	3534	SWWatchDog	3634	Running	18.97877	0.179045	106
/system/bin/surfaceflinger	3534	surfaceflinger	3551	Runnable	18.866309	0.281586	67
/system/bin/surfaceflinger	3534	Binder:3534_2	3546	Running	18.259615	0.246751	74
org.mozilla.firefox:tab0	14091	Socket Thread	14202	Running	18.046384	0.196156	92
kthreadd	2	ksoftirqd/0	6	Runnable (Preempted)	17.751389	1.044199	17
org.mozilla.firefox	13990	URL Classifier	14135	Uninterruptible Sleep + Wake Kill	17.703924	2.21299	8
